,20161223_1_1.csv,20161223_1_2.csv,20161223_6_1.csv,20161223_6_3.csv,20161226_1_1.csv,20161226_4_1.csv,20161226_4_2.csv,20161227_2_1.csv,20161227_2_3.csv,20161227_5_1.csv,20180320_1_3.csv,20180320_2_1.csv,20180320_2_2.csv,sample1_8_4.csv
0,0.37302089899999996,0.270916139,0.234264277,0.43930635799999995,0.678899083,0.296658331,0.395573997,0.11219671099999999,0.394589325,0.256315225,0.083587892,0.7222222220000001,0.5935195529999999,0.161604394
1,0.40274844600000004,0.312491061,0.25196163899999996,0.518979353,0.6415094339999999,0.37022900799999997,0.668503214,0.11219671099999999,0.409836066,0.418898043,0.077630511,0.5290697670000001,0.610575894,0.084975472
2,0.40274844600000004,0.312491061,0.25196163899999996,0.518979353,0.6415094339999999,0.37022900799999997,0.668503214,0.11219671099999999,0.409836066,0.418898043,0.077630511,0.5290697670000001,0.610575894,0.084975472
3,0.45539692,0.346288792,0.31543943,0.558916568,0.5490196079999999,0.393117141,0.696015895,0.16892400300000002,0.35406698600000003,0.45463872200000005,0.061480552,0.167095116,0.507101727,0.020944149
4,0.4847542,0.434722351,0.342801175,0.638868206,0.5490196079999999,0.23126787399999998,0.7102922490000001,-0.084354722,0.366889024,0.479724675,0.07197469,0.064356436,0.573195054,0.033746156
5,0.37302089899999996,0.276186003,0.23958780600000001,0.22572860600000003,0.691588785,0.293025362,0.380621793,0.11219671099999999,0.41660433799999996,0.21937842800000001,0.035299276,0.064356436,0.584418552,0.13595141
6,0.369469989,0.30092527399999996,0.220545073,0.452531379,0.660377358,0.340523119,0.548812665,-0.092504744,0.36917136899999997,0.40009256,0.10353154199999999,0.131979695,0.591949153,0.033424794
7,0.396804011,0.33054922800000003,0.267985612,0.501506291,0.587859425,0.398031794,0.668503214,0.11219671099999999,0.489361702,0.44808272299999996,0.069252799,0.27807486600000003,0.6826271190000001,0.059200132999999995
8,0.49033927299999996,0.424138964,0.35551142,0.6436443789999999,0.514851485,0.119312225,0.787433608,-0.030540328999999998,0.28746465600000004,0.405418801,0.054250424000000005,0.203125,0.455668605,0.110602911
9,0.36978523799999996,0.276186003,0.213632585,0.357233266,0.6749226009999999,0.29213483100000004,0.380621793,0.11219671099999999,0.4,0.21614883,0.029755579,0.240105541,0.6749240479999999,0.11030696300000001
10,0.39766011700000004,0.30092527399999996,0.23474178399999998,0.409611888,0.660377358,0.329214475,0.58190709,-0.108183079,0.36917136899999997,0.359200271,0.10353154199999999,0.097744361,0.6295975770000001,0.059356555
11,0.446898239,0.35170200100000004,0.29245719600000003,0.5192731279999999,0.639240506,0.28654256899999997,0.668503214,-0.092504744,0.36043360399999996,0.470099459,0.08987161199999999,0.131979695,0.590533736,0.059043659000000005
12,0.4847542,0.434722351,0.342801175,0.638868206,0.5490196079999999,0.23126787399999998,0.7102922490000001,-0.084354722,0.366889024,0.479724675,0.07197469,0.064356436,0.573195054,0.033746156
13,0.44791933100000003,0.360589775,0.309579991,0.550373664,0.534653465,0.249714937,0.787433608,0.12573779300000001,0.435092725,0.437615243,0.056603774,0.484240688,0.670228067,0.084975472
14,0.360227735,0.25557235100000003,0.218181818,0.424946645,0.6707317070000001,0.30174563600000004,0.395573997,0.11219671099999999,0.394589325,0.22784810100000003,0.074766355,0.7222222220000001,0.641340782,0.14863515300000002
15,0.40056161700000004,0.30092527399999996,0.209090909,0.44827302,0.649842271,0.324695318,0.548812665,0.142233684,0.387755102,0.381424291,0.11486273300000001,0.131979695,0.6615454129999999,0.059356555
16,0.45105268299999995,0.33054922800000003,0.289667897,0.5192731279999999,0.617834395,0.300109358,0.668503214,-0.092504744,0.36043360399999996,0.47546788100000004,0.061480552,0.131979695,0.481689595,0.084975472
17,0.54533544,0.422721268,0.342801175,0.544600939,0.582524272,0.270833333,0.696015895,-0.067390768,0.36043360399999996,0.519685039,0.08987161199999999,0.131979695,0.460705619,0.059043659000000005
18,0.37302089899999996,0.276186003,0.23958780600000001,0.22572860600000003,0.691588785,0.293025362,0.380621793,0.11219671099999999,0.41660433799999996,0.21937842800000001,0.035299276,0.064356436,0.584418552,0.13595141
19,0.369469989,0.30092527399999996,0.220545073,0.452531379,0.660377358,0.340523119,0.548812665,-0.092504744,0.36917136899999997,0.40009256,0.10353154199999999,0.131979695,0.591949153,0.033424794
20,0.396804011,0.33054922800000003,0.267985612,0.501506291,0.587859425,0.398031794,0.668503214,0.11219671099999999,0.489361702,0.44808272299999996,0.069252799,0.27807486600000003,0.6826271190000001,0.059200132999999995
21,0.49033927299999996,0.424138964,0.35551142,0.6436443789999999,0.514851485,0.119312225,0.787433608,-0.030540328999999998,0.28746465600000004,0.405418801,0.054250424000000005,0.203125,0.455668605,0.110602911
22,0.36978523799999996,0.276186003,0.213632585,0.357233266,0.6749226009999999,0.29213483100000004,0.380621793,0.11219671099999999,0.4,0.21614883,0.029755579,0.240105541,0.6749240479999999,0.11030696300000001
23,0.39766011700000004,0.30092527399999996,0.23474178399999998,0.409611888,0.660377358,0.329214475,0.58190709,-0.108183079,0.36917136899999997,0.359200271,0.10353154199999999,0.097744361,0.6295975770000001,0.059356555
24,0.446898239,0.35170200100000004,0.29245719600000003,0.5192731279999999,0.639240506,0.28654256899999997,0.668503214,-0.092504744,0.36043360399999996,0.470099459,0.08987161199999999,0.131979695,0.590533736,0.059043659000000005
