sample_id,raw_f1_score,filtered_f1_score,raw_kappa,filtered_kappa
20161223_1_1.csv,0.734299517,0.676328502,0.373020899,0.335027449
20161223_1_2.csv,0.688787185,0.556064073,0.270916139,0.151677073
20161223_6_1.csv,0.718855219,0.627946128,0.234264277,0.141899047
20161223_6_3.csv,0.75257732,0.642611684,0.439306358,0.305998899
20161226_1_1.csv,0.85042735,0.705128205,0.678899083,0.448
20161226_4_1.csv,0.696428571,0.585164835,0.296658331,0.233015873
20161226_4_2.csv,0.730994152,0.584795322,0.395573997,0.240665458
20161227_2_1.csv,0.691489362,0.64893617,0.112196711,0.057286127
20161227_2_3.csv,0.760416667,0.732638889,0.394589325,0.346380571
20161227_5_1.csv,0.658469945,0.620218579,0.256315225,0.259022983
20180320_1_3.csv,0.454545455,0.454545455,0.083587892,0.083587892
20180320_2_1.csv,0.861111111,0.861111111,0.722222222,0.722222222
20180320_2_2.csv,0.841121495,0.841121495,0.593519553,0.593519553
sample1_8_4.csv,0.580645161,0.438709677,0.161604394,-0.119180015
20161223_1_1.csv,0.765700483,0.700483092,0.402748446,0.362966272
20161223_1_2.csv,0.723112128,0.588100686,0.312491061,0.177523578
20161223_6_1.csv,0.737373737,0.646464646,0.251961639,0.157549234
20161223_6_3.csv,0.810996564,0.711340206,0.518979353,0.384406165
20161226_1_1.csv,0.837606838,0.739316239,0.641509434,0.501362398
20161226_4_1.csv,0.773351648,0.68543956,0.370229008,0.313637337
20161226_4_2.csv,0.888888889,0.824561404,0.668503214,0.538253825
20161227_2_1.csv,0.691489362,0.64893617,0.112196711,0.057286127
20161227_2_3.csv,0.774305556,0.75,0.409836066,0.371788657
20161227_5_1.csv,0.797814208,0.765027322,0.418898043,0.427792321
20180320_1_3.csv,0.436363636,0.436363636,0.077630511,0.077630511
20180320_2_1.csv,0.75,0.777777778,0.529069767,0.575221239
20180320_2_2.csv,0.841121495,0.813084112,0.610575894,0.536996971
sample1_8_4.csv,0.541935484,0.406451613,0.084975472,-0.183009789
20161223_1_1.csv,0.765700483,0.700483092,0.402748446,0.362966272
20161223_1_2.csv,0.723112128,0.588100686,0.312491061,0.177523578
20161223_6_1.csv,0.737373737,0.646464646,0.251961639,0.157549234
20161223_6_3.csv,0.810996564,0.711340206,0.518979353,0.384406165
20161226_1_1.csv,0.837606838,0.739316239,0.641509434,0.501362398
20161226_4_1.csv,0.773351648,0.68543956,0.370229008,0.313637337
20161226_4_2.csv,0.888888889,0.824561404,0.668503214,0.538253825
20161227_2_1.csv,0.691489362,0.64893617,0.112196711,0.057286127
20161227_2_3.csv,0.774305556,0.75,0.409836066,0.371788657
20161227_5_1.csv,0.797814208,0.765027322,0.418898043,0.427792321
20180320_1_3.csv,0.436363636,0.436363636,0.077630511,0.077630511
20180320_2_1.csv,0.75,0.777777778,0.529069767,0.575221239
20180320_2_2.csv,0.841121495,0.813084112,0.610575894,0.536996971
sample1_8_4.csv,0.541935484,0.406451613,0.084975472,-0.183009789
20161223_1_1.csv,0.81884058,0.736714976,0.45539692,0.395272172
20161223_1_2.csv,0.748283753,0.610983982,0.346288792,0.197454844
20161223_6_1.csv,0.779461279,0.69023569,0.31543943,0.209375
20161223_6_3.csv,0.841924399,0.756013746,0.558916568,0.444193366
20161226_1_1.csv,0.803418803,0.760683761,0.549019608,0.525423729
20161226_4_1.csv,0.820054945,0.776098901,0.393117141,0.425767489
20161226_4_2.csv,0.900584795,0.81871345,0.696015895,0.527918782
20161227_2_1.csv,0.75,0.686170213,0.168924003,0.104906391
20161227_2_3.csv,0.791666667,0.822916667,0.354066986,0.47617689
20161227_5_1.csv,0.833333333,0.792349727,0.454638722,0.443323727
20180320_1_3.csv,0.381818182,0.490909091,0.061480552,0.09650924
20180320_2_1.csv,0.5,0.5,0.167095116,0.167095116
20180320_2_2.csv,0.775700935,0.785046729,0.507101727,0.483958901
sample1_8_4.csv,0.509677419,0.380645161,0.020944149,-0.234035495
20161223_1_1.csv,0.855072464,0.838164251,0.4847542,0.561537732
20161223_1_2.csv,0.80778032,0.681922197,0.434722351,0.268606037
20161223_6_1.csv,0.794612795,0.707070707,0.342801175,0.231325301
20161223_6_3.csv,0.879725086,0.793814433,0.638868206,0.501541624
20161226_1_1.csv,0.803418803,0.777777778,0.549019608,0.559322034
20161226_4_1.csv,0.802197802,0.782967033,0.231267874,0.319698601
20161226_4_2.csv,0.906432749,0.81871345,0.710292249,0.527918782
20161227_2_1.csv,0.744680851,0.70212766,-0.084354722,-0.144099109
20161227_2_3.csv,0.798611111,0.826388889,0.366889024,0.483055715
20161227_5_1.csv,0.844262295,0.797814208,0.479724675,0.453378542
20180320_1_3.csv,0.418181818,0.527272727,0.07197469,0.110972956
20180320_2_1.csv,0.416666667,0.388888889,0.064356436,0.031784841
20180320_2_2.csv,0.813084112,0.794392523,0.573195054,0.501271186
sample1_8_4.csv,0.516129032,0.387096774,0.033746156,-0.221282243
20161223_1_1.csv,0.734299517,0.671497585,0.373020899,0.329666405
20161223_1_2.csv,0.693363844,0.560640732,0.276186003,0.155232476
20161223_6_1.csv,0.728956229,0.638047138,0.239587806,0.148361541
20161223_6_3.csv,0.556701031,0.402061856,0.225728606,0.115686891
20161226_1_1.csv,0.858974359,0.730769231,0.691588785,0.487804878
20161226_4_1.csv,0.693681319,0.571428571,0.293025362,0.195209581
20161226_4_2.csv,0.719298246,0.561403509,0.380621793,0.221075008
20161227_2_1.csv,0.691489362,0.64893617,0.112196711,0.057286127
20161227_2_3.csv,0.774305556,0.746527778,0.416604338,0.36659436
20161227_5_1.csv,0.636612022,0.617486339,0.219378428,0.255967939
20180320_1_3.csv,0.272727273,0.381818182,0.035299276,0.061480552
20180320_2_1.csv,0.416666667,0.361111111,0.064356436,0
20180320_2_2.csv,0.841121495,0.869158879,0.584418552,0.653881701
sample1_8_4.csv,0.567741935,0.503225806,0.13595141,0.010118603
20161223_1_1.csv,0.746376812,0.690821256,0.369469989,0.35155772
20161223_1_2.csv,0.71395881,0.578947368,0.300925274,0.169904817
20161223_6_1.csv,0.715488215,0.631313131,0.220545073,0.141176471
20161223_6_3.csv,0.76975945,0.670103093,0.452531379,0.335616438
20161226_1_1.csv,0.846153846,0.739316239,0.660377358,0.501362398
20161226_4_1.csv,0.739010989,0.616758242,0.340523119,0.238596491
20161226_4_2.csv,0.830409357,0.678362573,0.548812665,0.332268371
20161227_2_1.csv,0.739361702,0.70212766,-0.092504744,-0.144099109
20161227_2_3.csv,0.795138889,0.819444444,0.369171369,0.469387755
20161227_5_1.csv,0.767759563,0.699453552,0.40009256,0.356540084
20180320_1_3.csv,0.509090909,0.527272727,0.103531542,0.110972956
20180320_2_1.csv,0.472222222,0.472222222,0.131979695,0.131979695
20180320_2_2.csv,0.831775701,0.841121495,0.591949153,0.593519553
sample1_8_4.csv,0.516129032,0.387096774,0.033424794,-0.221282243
20161223_1_1.csv,0.775362319,0.70531401,0.396804011,0.359701833
20161223_1_2.csv,0.736842105,0.601830664,0.330549228,0.189325771
20161223_6_1.csv,0.750841751,0.656565657,0.267985612,0.168888889
20161223_6_3.csv,0.800687285,0.701030928,0.501506291,0.371677463
20161226_1_1.csv,0.816239316,0.756410256,0.587859425,0.526315789
20161226_4_1.csv,0.804945055,0.754120879,0.398031794,0.405033238
20161226_4_2.csv,0.888888889,0.81871345,0.668503214,0.527918782
20161227_2_1.csv,0.691489362,0.64893617,0.112196711,0.057286127
20161227_2_3.csv,0.819444444,0.822916667,0.489361702,0.496019764
20161227_5_1.csv,0.827868852,0.789617486,0.448082723,0.43835944
20180320_1_3.csv,0.409090909,0.436363636,0.069252799,0.077630511
20180320_2_1.csv,0.583333333,0.583333333,0.278074866,0.278074866
20180320_2_2.csv,0.869158879,0.841121495,0.682627119,0.610575894
sample1_8_4.csv,0.529032258,0.393548387,0.059200133,-0.208526875
20161223_1_1.csv,0.857487923,0.809178744,0.490339273,0.500930815
20161223_1_2.csv,0.798627002,0.693363844,0.424138964,0.281637961
20161223_6_1.csv,0.801346801,0.734006734,0.35551142,0.269133726
20161223_6_3.csv,0.896907216,0.821305842,0.643644379,0.547866619
20161226_1_1.csv,0.790598291,0.773504274,0.514851485,0.547008547
20161226_4_1.csv,0.793956044,0.781593407,0.119312225,0.228690229
20161226_4_2.csv,0.935672515,0.842105263,0.787433608,0.570631452
20161227_2_1.csv,0.776595745,0.739361702,-0.030540329,-0.092504744
20161227_2_3.csv,0.78125,0.826388889,0.287464656,0.483055715
20161227_5_1.csv,0.838797814,0.846994536,0.405418801,0.543803419
20180320_1_3.csv,0.354545455,0.409090909,0.054250424,0.069252799
20180320_2_1.csv,0.527777778,0.527777778,0.203125,0.203125
20180320_2_2.csv,0.738317757,0.719626168,0.455668605,0.406215316
