,raw_f1_score,filtered_f1_score,raw_kappa,filtered_kappa
SelectFeature=T15_OneByOne=20161223_1_1.csv,0.7681159420289855,0.6956521739130435,0.40639842279774163,0.3480966782473943
SelectFeature=T15_OneByOne=20161223_1_2.csv,0.7162471395881007,0.5812356979405034,0.30378250591016553,0.17179134000973495
SelectFeature=T15_OneByOne=20161223_6_1.csv,0.7424242424242424,0.664983164983165,0.2549800796812749,0.17861163227016874
SelectFeature=T15_OneByOne=20161223_6_3.csv,0.7697594501718213,0.6288659793814433,0.45846179485042904,0.2919708029197081
SelectFeature=T15_OneByOne=20161226_1_1.csv,0.8376068376068376,0.7435897435897437,0.6392405063291139,0.5054945054945055
SelectFeature=T15_OneByOne=20161226_4_1.csv,0.7403846153846154,0.6456043956043956,0.31961943944458726,0.2654804270462633
SelectFeature=T15_OneByOne=20161226_4_2.csv,0.8830409356725146,0.8187134502923976,0.655241935483871,0.5279187817258884
SelectFeature=T15_OneByOne=20161227_2_1.csv,0.6968085106382979,0.648936170212766,0.11961879723956625,0.057286126728460784
SelectFeature=T15_OneByOne=20161227_2_3.csv,0.7951388888888888,0.8263888888888888,0.3604336043360433,0.4830557151062608
SelectFeature=T15_OneByOne=20161227_5_1.csv,0.7513661202185792,0.7158469945355191,0.3471715864988828,0.37485218762317696
SelectFeature=T15_OneByOne=20180320_1_3.csv,0.2909090909090909,0.37272727272727274,0.03919372900335949,0.0590131415819487
SelectFeature=T15_OneByOne=20180320_2_1.csv,0.8055555555555556,0.8611111111111112,0.5987261146496815,0.7222222222222222
SelectFeature=T15_OneByOne=20180320_2_2.csv,0.822429906542056,0.8130841121495327,0.5822888843229915,0.5369969710082215
SelectFeature=T15_OneByOne=sample1_8_4.csv,0.5483870967741935,0.4258064516129032,0.09733777038269553,-0.14471828064061065
SelectFeature=T15_OneByOne=20161223_1_1.csv,0.7681159420289855,0.6956521739130435,0.40639842279774163,0.3480966782473943
SelectFeature=T15_OneByOne=20161223_1_2.csv,0.7162471395881007,0.5812356979405034,0.30378250591016553,0.17179134000973495
SelectFeature=T15_OneByOne=20161223_6_1.csv,0.7424242424242424,0.664983164983165,0.2549800796812749,0.17861163227016874
SelectFeature=T15_OneByOne=20161223_6_3.csv,0.7697594501718213,0.6288659793814433,0.45846179485042904,0.2919708029197081
SelectFeature=T15_OneByOne=20161226_1_1.csv,0.8376068376068376,0.7435897435897437,0.6392405063291139,0.5054945054945055
SelectFeature=T15_OneByOne=20161226_4_1.csv,0.7403846153846154,0.6456043956043956,0.31961943944458726,0.2654804270462633
SelectFeature=T15_OneByOne=20161226_4_2.csv,0.8830409356725146,0.8187134502923976,0.655241935483871,0.5279187817258884
SelectFeature=T15_OneByOne=20161227_2_1.csv,0.6968085106382979,0.648936170212766,0.11961879723956625,0.057286126728460784
SelectFeature=T15_OneByOne=20161227_2_3.csv,0.7951388888888888,0.8263888888888888,0.3604336043360433,0.4830557151062608
SelectFeature=T15_OneByOne=20161227_5_1.csv,0.7513661202185792,0.7158469945355191,0.3471715864988828,0.37485218762317696
SelectFeature=T15_OneByOne=20180320_1_3.csv,0.2909090909090909,0.37272727272727274,0.03919372900335949,0.0590131415819487
SelectFeature=T15_OneByOne=20180320_2_1.csv,0.8055555555555556,0.8611111111111112,0.5987261146496815,0.7222222222222222
SelectFeature=T15_OneByOne=20180320_2_2.csv,0.822429906542056,0.8130841121495327,0.5822888843229915,0.5369969710082215
SelectFeature=T15_OneByOne=sample1_8_4.csv,0.5483870967741935,0.4258064516129032,0.09733777038269553,-0.14471828064061065
SelectFeature=T15_OneByOne=20161223_1_1.csv,0.7657004830917874,0.6980676328502415,0.41267148331237025,0.3600840855694324
SelectFeature=T15_OneByOne=20161223_1_2.csv,0.7139588100686499,0.5789473684210527,0.300925274190865,0.16990481696364046
SelectFeature=T15_OneByOne=20161223_6_1.csv,0.7306397306397306,0.6430976430976431,0.23278116826503925,0.15384615384615385
SelectFeature=T15_OneByOne=20161223_6_3.csv,0.7663230240549829,0.6632302405498282,0.4413010333728612,0.3280079174324898
SelectFeature=T15_OneByOne=20161226_1_1.csv,0.811965811965812,0.7307692307692306,0.5714285714285714,0.46760563380281694
SelectFeature=T15_OneByOne=20161226_4_1.csv,0.7403846153846154,0.6401098901098901,0.32258064516129037,0.26174901881855683
SelectFeature=T15_OneByOne=20161226_4_2.csv,0.8947368421052632,0.8187134502923976,0.6820904771741376,0.5279187817258884
SelectFeature=T15_OneByOne=20161227_2_1.csv,0.7393617021276595,0.6861702127659575,0.13355906696764497,0.104906391220142
SelectFeature=T15_OneByOne=20161227_2_3.csv,0.7951388888888888,0.8263888888888888,0.3604336043360433,0.4830557151062608
SelectFeature=T15_OneByOne=20161227_5_1.csv,0.7459016393442623,0.7076502732240436,0.3489039366463905,0.36772256127094827
SelectFeature=T15_OneByOne=20180320_1_3.csv,0.3090909090909091,0.38181818181818183,0.04325932707713431,0.061480552070263705
SelectFeature=T15_OneByOne=20180320_2_1.csv,0.7222222222222222,0.8611111111111112,0.39799331103678925,0.7222222222222222
